,sentence,sentiment_polarity,sentiment_subjectivity
47, Ma m\xc3\xa8re a eu son Bac et son BTS au cours des derni\xc3\xa8res ann\xc3\xa9es et \xc3\xa0 40 ans pass\xc3\xa9. Quand elle m\xe2\x80\x99a appel\xc3\xa9 elle m\xe2\x80\x99a dit \xe2\x80\x9cje l\xe2\x80\x99ai\xe2\x80\xa6',0.0,0.0
48,//t.co/Bl3xqT72BX',0.0,0.0
49,//t.co/I3l7nAcBkZ',0.0,0.1
50, After eight months of this pandemic,0.0,0.0
51, tw // death ,0.0,0.0
52,THREAD \xf0\x9f\x98\xb3',0.0,0.0
53,IDIOT',-0.8,0.8
54, Uni students in the middle of COVID-19,0.0,0.0
55, Que as\xc3\xad sea,0.0,0.0
56, A Jalisco ya se le desbord\xc3\xb3 el Covid-19,0.0,0.0
57," ""North Carolina\xe2\x80\x99s new COVID-19 cases currently rank among the highest in the country. Now is not the time to b\xe2\x80\xa6'",-0.33181818181818185,0.6772727272727272
58, Thank you my dearest @ashokepandit for your love,0.5,0.6
59,He is utterly psychotic.',-0.5,1.0
60, #SimulacroGarant\xc3\xadaDePaz #RudyPaLaAsamblea @FreddyBernal @RudyPuertaPSUV\n@dcabellor @lanegritazulbet @adelso_Car @Insha\xe2\x80\xa6',0.0,0.0
61,//t.co/KBiNxGXDBE',0.5,0.5
62,//t.co/TmYlnqpuBF',0.0,0.0
63,//t.co/3042S8m4sj',0.0,0.0
64,The HOAX?  hmmmmm',0.0,0.0
65, This is beautiful,0.85,1.0
66, \xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb5\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x8d\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x9b\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x9e\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94 \n\xe0\xb8\x9d\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa8\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb9\x81\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2\xe0\xb9\x84\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb8\xb5\xe0\xb9\x83\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87',0.0,0.0
67, \xf0\x9f\x98\xb1We are in the midst of a deadly #pandemic,-0.2,0.4
68,Good God.',0.7,0.6000000000000001
69,\n\n#Trump proved to be DANGEROUS\xe2\x80\xa6',0.0,0.1
70,"//t.co/LVxjl1GOwo""",-0.15,0.42500000000000004
71," Fauci says the U.S. should consider a national mask mandate as infections spiral\nThese ppl don\'t give a rip about ""public\xe2\x80\xa6'",0.0,0.0
72,Cegah Covid-19,0.0,0.0
73, Mitch McConnell has the Senate working through the weekend right now\xe2\x80\x94not to provide COVID-19 relief to people who need\xe2\x80\xa6',0.2857142857142857,0.5357142857142857
74, Lo que compartes en las redes sociales puede tener consecuencias graves en el mundo real,0.2,0.30000000000000004
75,@Cleavon_MD @TimMurtaugh 100,0.0,0.0
76, \xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb5\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x8d\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x9b\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x9e\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94 \n\xe0\xb8\x9d\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa8\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb9\x81\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2\xe0\xb9\x84\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb8\xb5\xe0\xb9\x83\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87',0.0,0.0
77, Alcanza Jalisco cifra r\xc3\xa9cord,0.0,0.0
78,//t.co/Nx9GRqTv3H',0.14545454545454545,0.4181818181818182
79,//t.co/Oa1r652Jtc',0.13636363636363635,0.45454545454545453
80,@Jeb2028 @JohnJHarwood @cathleendecker @maggieNYT @ShawnBoburg @realDonaldTrump is a SUPER-SPREADER of COVID-19 and LIES',0.0,0.0
81, This is the guy managing the White House Coronavirus task force.  \n\nI feel like this is a sign from God. Vote for Biden',0.0,0.0
82, #PaslonKampanyeProkes Mendagri Tito Karnavian berpesan untuk menjaga kapasitas tempat wisata,0.0,0.0
83,@laurenharmon self-certify that they will wear face masks throughout the ride,0.0,0.0
84,//t.co/u8jWe9p4sH',0.0,0.0
85, tw // death ,0.0,0.0
86, #SomosTodosContraAMascara\nEm cada respira\xc3\xa7\xc3\xa3o,0.0,0.0
87, \xe2\x80\x9cToday,0.0,0.0
88, 1.  Donald Trump,0.0,0.0
89, Mitch McConnell has the Senate working through the weekend right now\xe2\x80\x94not to provide COVID-19 relief to people who need\xe2\x80\xa6',0.2857142857142857,0.5357142857142857
90, 1.  Donald Trump,0.0,0.0
91, New White House outbreak.',0.06818181818181818,0.22727272727272727
92, \xe2\x80\x9cToday,0.0,0.0
93,//t.co/TAx4EPo5zY',0.6666666666666666,0.7666666666666666
94, Three years ago,0.0,0.0
95, THREAD. THIS IS BAD. It looks like Trump and Thiel could be directly responsible for false health data - starting in Misso\xe2\x80\xa6',-0.22499999999999998,0.47916666666666674
96,\n\nLe mobilier national a vendue une partie du patrimoine des Fran\xc3\xa7ais au seul profit de la f\xe2\x80\xa6',0.0,0.0
97, Can somebody remind me,0.0,0.0
98,//t.co/evTGIrqKC6',0.0,0.0
99, Donald Trump just attacked American Doctors and said they are fabricating the Covid-19 death count for money.\xe2\x80\xa6',0.0,0.0
100, tw // death ,0.0,0.0
101,3 dias com o olho co\xc3\xa7ando sem parar ser\xc3\xa1 que \xc3\xa9 corona',0.0,0.0
102,//t.co/CGCOODUprZ',0.0,0.0
103,//t.co/h6WjQ8wsEK',0.0,0.0
104, 3) ventilation is key. Japan assumed it was airborne from the very beginning. Hence their mask culture and their focus on a\xe2\x80\xa6',0.2333333333333333,0.7666666666666666
105, Las medidas de bioseguridad de la pandemia por covid-19 y las modificaciones en los m\xc3\xa9todos de selecci\xc3\xb3n de candidatos (\xe2\x80\xa6',0.0,0.0
106, Plant based but if Ebi we make am Ebi bitters.',0.0,0.0
107,//t.co/lIijtRdvaq',0.35,0.55
108, We need to #Melbournelockdown to end so we can get back to normal life and see more of this. #COVID19Vic #COVID19 #coron\xe2\x80\xa6',0.21666666666666667,0.3833333333333333
109, \xe2\x80\x9cToday,0.0,0.0
110, Yay for \xe2\x81\xa6@TovaOBrien\xe2\x81\xa9,0.0,0.0
111, We are seeing an alarming rise in COVID-19 cases in Michigan right now. It is vital that we wear masks,0.09523809523809523,0.5119047619047619
112, Trying to understand this. Are you saying you were going to use your birthday to distribute government-issued COVID-19 pall\xe2\x80\xa6',0.0,0.0
113, I want y\xe2\x80\x99all to know that the same thing happened in Puerto Rico. Warehouses full of food,0.175,0.3375
114, This is the guy managing the White House Coronavirus task force.  \n\nI feel like this is a sign from God. Vote for Biden',0.0,0.0
115, If 95% of Americans wore masks in public,0.0,0.06666666666666667
116,Those who attended tRump\xe2\x80\x99s rallies and not wearing their masks,0.0,0.0
117, 1,0.0,0.0
118, \xe2\x80\x9cToday,0.0,0.0
119,"""And as I say",0.0,0.0
120, This is the guy managing the White House Coronavirus task force.  \n\nI feel like this is a sign from God. Vote for Biden',0.0,0.0
121,//t.co/Imi892Fo31',0.0,0.0
122, Seg\xc3\xban @lopezobrador_ las energ\xc3\xadas limpias son \xe2\x80\x9cun sofisma\xe2\x80\x9d. Pr\xc3\xb3ximamente las cirug\xc3\xadas a coraz\xc3\xb3n abierto ser\xc3\xa1n con cuchi\xe2\x80\xa6',0.0,0.0
123,Let me just overlook this rubbish and act like I never saw it',0.0,0.0
124, We know them. \n\nThey taught us. They looked out for us. They inspired us.\n\nToday,0.0,0.0
125," Ces policiers ont fait leur choix...ob\xc3\xa9ir \xc3\xa0 une dictature corrompus....c'est un mauvais choix et Ces policiers sont des abrutis\xe2\x80\xa6""",0.0,0.0
126,La parroquia de San Juan del Coecillo,0.0,0.0
127,LTC residents not transferred to hospitals,0.0,0.0
128, La ca\xc3\xadda de #turistas por el #COVID19 y la reforma que nunca llega marcan el d\xc3\xada a d\xc3\xada de #LaRambla de #Barcelona V\xc3\xada @BC\xe2\x80\xa6',0.0,0.0
129, baby when we get there just pick anything you want',0.0,0.0
130, DAVID VELASQUEZ,0.0,0.0
131,@Statyllus @JoeBiden He knows why more than you do..  \xe2\x80\x93 typically,0.16666666666666669,0.5
132,//t.co/p3bGduGrZ6.',0.0,0.0
133,/\xe2\x80\xa6',0.0,0.0
134, After eight months of this pandemic,0.0,0.0
135, 1 STAF OPERASI MRT POSITIF COVID-19\n\n25 Oktober \xe2\x80\x93 Seorang staf operasi MRT Laluan Kajang telah disahkan positif COVID-19 &amp;\xe2\x80\xa6',0.0,0.0
136, 1.  Donald Trump,0.0,0.0
137, \xe0\xb9\x80\xe0\xb8\x81\xe0\xb8\xb2\xe0\xb8\xab\xe0\xb8\xa5\xe0\xb8\xb5\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x8d\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x9b\xe0\xb8\xb8\xe0\xb9\x88\xe0\xb8\x99\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb8\x9e\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb8\xa5\xe0\xb8\xb1\xe0\xb8\x9a\xe0\xb8\x88\xe0\xb8\xb2\xe0\xb8\x81\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94 \n\xe0\xb8\x9d\xe0\xb8\xa3\xe0\xb8\xb1\xe0\xb9\x88\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa8\xe0\xb8\xaa\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\xb9\xe0\xb9\x88\xe0\xb9\x80\xe0\xb8\xa1\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2 \xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\n\xe0\xb9\x81\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x84\xe0\xb8\x97\xe0\xb8\xa2\xe0\xb9\x84\xe0\xb8\xa1\xe0\xb9\x88\xe0\xb8\xa1\xe0\xb8\xb5\xe0\xb9\x83\xe0\xb8\x84\xe0\xb8\xa3\xe0\xb8\x95\xe0\xb8\xb4\xe0\xb8\x94\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xe0\xb9\x80\xe0\xb8\x81\xe0\xb9\x88\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87\xe0\xb8\x87',0.0,0.0
138, After eight months of this pandemic,0.0,0.0
139, Potters in Hauz Rani say their business is suffering due to the COVID19 pandemic.\n\nBabita,-0.125,0.375
140,@chrislhayes Is this ANOTHER OUTBREAK? or a continuation of the 1st OUTBREAK when Trump tested positive for COVID-19.',0.22727272727272727,0.5454545454545454
141,//t.co/t6puIkA3zW',0.19318181818181818,0.3939393939393939
142,shot',0.0,0.0
143, Manifiesto el desprecio x la vida,0.0,0.0
144, That\xe2\x80\x99s TWO in the last few minutes.',-0.1,0.08333333333333334
145,@americanglory13 \xf0\x9f\x91\x91 toma la corona que se te cay\xc3\xb3',0.0,0.0
146, Does the WH have *another* outbreak?',0.0,0.0
147, \xe3\x81\x8a\xe3\x81\xaf\xe6\x97\xa5\xef\xbc\x81\xe6\xa3\xae\xe5\xb7\x9d\xe6\x99\xba\xe4\xb9\x8b\xe3\x81\xab\xe3\x82\x83\xef\xbc\x81\xe4\xbb\x8a\xe6\x97\xa5\xe3\x81\xaf\xe3\x80\x8c\xe3\x83\x9c\xe3\x82\xa4\xe3\x83\x88\xe3\x83\xac\xe7\x94\xb7\xe5\xad\x90\xe3\x80\x8d\xef\xbc\x81\xe3\x80\x80\n\xe5\x86\x99\xe7\x9c\x9f\xe3\x81\xaf\xe5\xb0\x8f\xe9\x87\x8e\xe5\xa4\xa7\xe8\xbc\x94&amp;\xe2\x80\xa6\xe8\xaa\xb0\xef\xbc\x9f\xe8\xb1\x8a\xe6\xb0\xb8\xe5\x88\xa9\xe8\xa1\x8c\xe4\xbc\xbc\xe3\x81\xaa\xe4\xba\xba\xef\xbc\x9f\n#\xe3\x82\xab\xe3\x83\x8a\xe3\x82\xbf10th \xe5\xb2\xa9\xe7\x94\xb0\xe5\x85\x89\xe5\xa4\xae\xe3\x82\xb9\xe3\x82\xb4\xe3\x82\xa4\xef\xbc\x81\xe3\x81\xbf\xe3\x81\xa3\xe3\x81\xa1\xe3\x82\x83\xe3\x82\x93\xe3\x81\xb8\xe3\x83\x91\xe3\x83\xaf\xe3\x83\xbc\xef\xbc\x81\n&amp;\xe3\x81\x9d\xe3\x81\xae\xe3\x83\x91\xe3\x83\xaf\xe3\x83\xbc\xe3\x80\x8c\xe3\x81\x8a\xe3\x81\xbe\xe3\x81\x88\xe3\x82\x89\xe3\x81\xae\xe3\x81\x9f\xe3\x82\x81\xe3\x81\xa0\xe3\x82\x8d\xef\xbc\x81\xe3\x80\x8d\xe3\x81\xb8\xef\xbc\x81COVID-19\xe3\x81\xab\xe8\xb2\xa0\xe3\x81\x91\xe3\x81\xaa\xe3\x81\x84\xef\xbc\x81\xe3\x81\x93\xe3\x81\xae\xe5\x8b\x95\xe7\x94\xbb\xe2\x98\x9f\xe8\xa6\x8b\xe3\x81\xa6\xe7\xac\x91\xe3\x81\x8a\xe3\x83\xbc\xef\xbc\x81\nhttps\xe2\x80\xa6',0.0,0.0
148, I\xe2\x80\x99m afraid I\xe2\x80\x99m getting tired of the corona hysteria,-0.5,0.8
149, 6/ SYSTEM OVERHAUL NEEDED. We\xe2\x80\x99ve known about these issues for years. But even with the tragedy of COVID19,0.0,0.0
150,"//t.co/w9WyOUtOCG""",0.2068181818181818,0.6363636363636364
151, \xe2\x80\x9cToday,0.0,0.0
152,"b""@realDonaldTrump Hey",0.0,0.0
153, \xe2\x80\x9cWe choose hope over fear!\xe2\x80\x9d What are you\xe2\x80\xa6',0.125,0.16666666666666666
154, Hand sanitizer can be harmful to children,0.0,0.0
155, 6. In summary,0.0,0.0
156, While Democrats continue to block legislation that would help small businesses,-0.25,0.4
157, If 95% of Americans wore masks in public,0.0,0.06666666666666667
158, did the virus personally tell you this',0.0,0.3
